_id,nombre,categoria,precio,stock,ventas
1,Laptop Dell XPS,Electrónica,1500,5,"[{""fecha"": ""2024-03-01"", ""cantidad"": 2}, {""fecha"": ""2024-03-03"", ""cantidad"": 1}]"
2,iPhone 13 Pro,Electrónica,1200,10,"[{""fecha"": ""2024-03-02"", ""cantidad"": 3}]"
3,Cafetera Nespresso,Hogar,250,15,"[{""fecha"": ""2024-03-04"", ""cantidad"": 4}]"
4,TV Samsung 55"",Electrónica,800,7,"[{""fecha"": ""2024-03-05"", ""cantidad"": 2}]"
5,Zapatillas Nike Air,Moda,100,20,"[{""fecha"": ""2024-03-06"", ""cantidad"": 5}]"
6,Teclado Mecánico,Accesorios,80,12,"[{""fecha"": ""2024-03-07"", ""cantidad"": 3}]"
7,Mouse Logitech MX,Accesorios,70,18,"[{""fecha"": ""2024-03-08"", ""cantidad"": 2}]"
8,Monitor LG 24"",Electrónica,300,8,"[{""fecha"": ""2024-03-09"", ""cantidad"": 2}]"
9,Silla Ergonómica,Oficina,200,5,"[{""fecha"": ""2024-03-10"", ""cantidad"": 1}]"
10,Escritorio de Madera,Hogar,350,3,"[{""fecha"": ""2024-03-11"", ""cantidad"": 1}]"
